b
9,2702570S,32394,129576008,517,0,0
9,2500,1,,
S,32771,131084008,512,0,0
S,32772,131088008,512,0,0
S,32773,131092008,512,0,0
S,32774,131096008,512,0,0
S,32775,131100008,511,0,0
S,32776,131104008,514,0,0
S,32777,131108008,518,0,0
S,32778,131112008,522,0,0
S,32779,131116008,525,0,0
S,32780,131120008,529,0,0
S,32781,131124012,533,0,0
S,32782,131128008,537,0,0
S,32783,131132008,537,0,0
S,32784,131136008,533,0,0
S,32785,131140008,529,0,0
S,32786,131144008,525,0,0
S,32787,131148008,522,0,0
S,32788,131152008,518,0,0
S,32789,131156012,514,0,0
S,32790,131160008,511,0,0
S,32791,131164008,511,0,0
S,32792,131168008,511,0,0
S,32793,131172008,511,0,0
S,32794,131176008,511,0,0
S,32795,131180008,511,0,0
S,32796,131184008,511,0,0
S,32797,131188008,511,0,0
S,32798,131192008,511,0,0
S,32799,131196008,511,0,0
S,32800,131200012,503,0,0
S,32801,131204008,488,0,0
S,32802,131208008,473,0,0
S,32803,131212012,473,0,0
S,32804,131216012,488,0,0
S,32805,131220008,503,0,0
S,32806,131224008,510,0,0
S,32807,131228012,510,0,0
S,32808,131232008,595,0,0
S,32809,131236008,680,0,0
S,32810,131240012,764,0,0
S,32811,131244008,680,0,0
S,32812,131248008,595,0,0
S,32813,131252008,510,0,0
S,32814,131256012,510,0,0
S,32815,131260012,494,0,0
S,32816,131264012,478,0,0
S,32817,131268008,462,0,0
S,32818,131272008,445,0,0
S,32819,131276008,462,0,0
S,32820,131280008,478,0,0
S,32821,131284008,494,0,0
S,32822,131288008,510,0,0
S,32823,131292012,510,0,0
S,32824,131296008,510,0,0
S,32825,131300008,509,0,0
S,32826,131304008,509,0,0
S,32827,131308008,509,0,0
S,32828,131312008,509,0,0
S,32829,131316008,509,0,0
S,32830,131320008,509,0,0
S,32831,131324008,509,0,0
S,32832,131328008,512,0,0
S,32833,131332008,518,0,0
S,32834,131336008,523,0,0
S,32835,131340008,528,0,0
S,32836,131344012,533,0,0
S,32837,131348008,539,0,0
S,32838,131352008,544,0,0
S,32839,131356008,549,0,0
S,32840,131360008,554,0,0
S,32841,131364008,560,0,0
S,32842,131368008,565,0,0
S,32843,131372008,570,0,0
S,32844,131376012,575,0,0
S,32845,131380008,580,0,0
S,32846,131384008,586,0,0
S,32847,131388008,591,0,0
S,32848,131392008,591,0,0
S,32849,131396008,586,0,0
S,32850,131400008,579,0,0
S,32851,131404008,574,0,0
S,32852,131408012,569,0,0
S,32853,131412008,564,0,0
S,32854,131416008,559,0,0
S,32855,131420008,553,0,0
S,32856,131424008,548,0,0
S,32857,131428008,543,0,0
S,32858,131432008,538,0,0
S,32859,131436008,532,0,0
S,32860,131440012,527,0,0
S,32861,131444008,522,0,0
S,32862,131448008,517,0,0
S,32863,131452008,511,0,0
S,32864,131456008,508,0,0
S,32865,131460008,508,0,0
S,32866,131464012,508,0,0
S,32867,131468008,508,0,0
S,32868,131472012,508,0,0
S,32869,131476008,508,0,0
S,32870,131480012,508,0,0
S,32871,131484008,508,0,0
S,32872,131488008,508,0,0
S,32873,131492012,508,0,0
S,32874,131496008,508,0,0
S,32875,131500008,507,0,0
S,32876,131504008,507,0,0
S,32877,131508008,507,0,0
S,32878,131512008,507,0,0
S,32879,131516008,507,0,0
S,32880,131520008,507,0,0
S,32881,131524008,507,0,0
S,32882,131528008,507,0,0
S,32883,131532008,507,0,0
S,32884,131536008,507,0,0
S,32885,131540008,507,0,0
S,32886,131544008,507,0,0
S,32887,131548008,507,0,0
S,32888,131552008,507,0,0
S,32889,131556008,507,0,0
S,32890,131560012,507,0,0
S,32891,131564008,507,0,0
S,32892,131568008,507,0,0
S,32893,131572008,507,0,0
S,32894,131576008,507,0,0
S,32895,131580008,507,0,0
S,32896,131584008,510,0,0
S,32897,131588008,514,0,0
S,32898,131592008,518,0,0
S,32899,131596012,521,0,0
S,32900,131600012,524,0,0
S,32901,131604008,528,0,0
S,32902,131608008,532,0,0
S,32903,131612008,532,0,0
S,32904,131616008,528,0,0
S,32905,131620008,524,0,0
S,32906,131624008,520,0,0
S,32907,131628008,517,0,0
S,32908,131632012,513,0,0
S,32909,131636008,509,0,0
S,32910,131640008,506,0,0
S,32911,131644008,506,0,0
S,32912,131648008,506,0,0
S,32913,131652012,506,0,0
S,32914,131656008,506,0,0
S,32915,131660008,506,0,0
S,32916,131664008,506,0,0
S,32917,131668012,506,0,0
S,32918,131672008,506,0,0
S,32919,131676008,506,0,0
S,32920,131680008,499,0,0
S,32921,131684008,484,0,0
S,32922,131688008,469,0,0
S,32923,131692008,469,0,0
S,32924,131696008,484,0,0
S,32925,131700008,498,0,0
S,32926,131704008,505,0,0
S,32927,131708008,505,0,0
S,32928,131712008,590,0,0
S,32929,131716008,675,0,0
S,32930,131720012,759,0,0
S,32931,131724012,674,0,0
S,32932,131728008,590,0,0
S,32933,131732008,505,0,0
S,32934,131736008,505,0,0
S,32935,131740008,489,0,0
S,32936,131744008,473,0,0
S,32937,131748008,457,0,0
S,32938,131752012,441,0,0
S,32939,131756012,457,0,0
S,32940,131760008,473,0,0
S,32941,131764008,489,0,0
S,32942,131768008,505,0,0
S,32943,131772008,505,0,0
S,32944,131776008,505,0,0
S,32945,131780008,505,0,0
S,32946,131784008,505,0,0
S,32947,131788008,505,0,0
S,32948,131792008,505,0,0
S,32949,131796008,505,0,0
S,32950,131800008,504,0,0
S,32951,131804008,504,0,0
S,32952,131808008,507,0,0
S,32953,131812008,513,0,0
S,32954,131816008,518,0,0
S,32955,131820008,523,0,0
S,32956,131824008,528,0,0
S,32957,131828008,534,0,0
S,32958,131832008,539,0,0
S,32959,131836008,544,0,0
S,32960,131840008,549,0,0
S,32961,131844008,555,0,0
S,32962,131848012,560,0,0
S,32963,131852008,565,0,0
S,32964,131856012,570,0,0
S,32965,131860008,575,0,0
S,32966,131864008,581,0,0
S,32967,131868008,586,0,0
S,32968,131872008,586,0,0
S,32969,131876008,581,0,0
S,32970,131880008,575,0,0
S,32971,131884008,570,0,0
S,32972,131888012,565,0,0
S,32973,131892008,560,0,0
S,32974,131896008,555,0,0
S,32975,131900012,548,0,0
S,32976,131904008,543,0,0
S,32977,131908008,538,0,0
S,32978,131912012,533,0,0
S,32979,131916008,527,0,0
S,32980,131920008,522,0,0
S,32981,131924008,517,0,0
S,32982,131928008,512,0,0
S,32983,131932008,506,0,0
S,32984,131936008,503,0,0
S,32985,131940008,503,0,0
S,32986,131944008,503,0,0
S,32987,131948008,503,0,0
S,32988,131952012,503,0,0
S,32989,131956008,503,0,0
S,32990,131960008,503,0,0
S,32991,131964008,503,0,0
S,32992,131968008,503,0,0
S,32993,131972008,503,0,0
S,32994,131976008,503,0,0
S,32995,131980008,503,0,0
S,32996,131984008,503,0,0
S,32997,131988008,503,0,0
S,32998,131992008,503,0,0
S,32999,131996008,503,0,0
S,33000,132000008,502,0,0
S,33001,132004008,502,0,0
S,33002,132008008,502,0,0
S,33003,132012008,502,0,0
S,33004,132016008,502,0,0
S,33005,132020008,502,0,0
S,33006,132024008,502,0,0
S,33007,132028012,502,0,0
S,33008,132032008,502,0,0
S,33009,132036012,502,0,0
S,33010,132040012,502,0,0
S,33011,132044012,502,0,0
S,33012,132048008,502,0,0
S,33013,132052008,502,0,0
S,33014,132056008,502,0,0
S,33015,132060008,502,0,0
S,33016,132064008,505,0,0
S,33017,132068008,509,0,0
S,33018,132072008,513,0,0
S,33019,132076012,516,0,0
S,33020,132080008,520,0,0
S,33021,132084012,524,0,0
S,33022,132088008,528,0,0
S,33023,132092008,528,0,0
S,33024,132096008,524,0,0
S,33025,132100008,521,0,0
S,33026,132104008,517,0,0
S,33027,132108008,514,0,0
S,33028,132112008,510,0,0
S,33029,132116008,506,0,0
S,33030,132120008,503,0,0
S,33031,132124008,503,0,0
S,33032,132128008,503,0,0
S,33033,132132008,503,0,0
S,33034,132136008,503,0,0
S,33035,132140008,503,0,0
S,33036,132144012,503,0,0
S,33037,132148008,503,0,0
S,33038,132152008,503,0,0
S,33039,132156008,503,0,0
S,33040,132160008,496,0,0
S,33041,132164012,481,0,0
S,33042,132168008,466,0,0
S,33043,132172008,466,0,0
S,33044,132176008,481,0,0
S,33045,132180008,496,0,0
S,33046,132184012,503,0,0
S,33047,132188012,503,0,0
S,33048,132192012,588,0,0
S,33049,132196012,673,0,0
S,33050,132200008,759,0,0
S,33051,132204008,674,0,0
S,33052,132208012,588,0,0
S,33053,132212008,504,0,0
S,33054,132216008,504,0,0
S,33055,132220008,488,0,0
S,33056,132224008,472,0,0
S,33057,132228008,456,0,0
S,33058,132232012,440,0,0
S,33059,132236008,456,0,0
S,33060,132240008,472,0,0
S,33061,132244008,488,0,0
S,33062,132248008,504,0,0
S,33063,132252008,504,0,0
S,33064,132256008,504,0,0
S,33065,132260008,504,0,0
S,33066,132264008,504,0,0
S,33067,132268008,504,0,0
S,33068,132272008,504,0,0
S,33069,132276008,504,0,0
S,33070,132280008,504,0,0
S,33071,132284012,504,0,0
S,33072,132288012,507,0,0
S,33073,132292008,513,0,0
S,33074,132296008,518,0,0
S,33075,132300008,524,0,0
S,33076,132304012,529,0,0
S,33077,132308008,535,0,0
S,33078,132312008,540,0,0
S,33079,132316008,545,0,0
S,33080,132320008,550,0,0
S,33081,132324008,556,0,0
S,33082,132328012,561,0,0
S,33083,132332008,566,0,0
S,33084,132336008,571,0,0
S,33085,132340008,576,0,0
S,33086,132344008,582,0,0
S,33087,132348008,587,0,0
S,33088,132352008,587,0,0
S,33089,132356008,582,0,0
S,33090,132360008,576,0,0
S,33091,132364008,571,0,0
S,33092,132368008,566,0,0
S,33093,132372008,561,0,0
S,33094,132376008,556,0,0
S,33095,132380008,550,0,0
S,33096,132384008,545,0,0
S,33097,132388008,540,0,0
S,33098,132392012,535,0,0
S,33099,132396008,529,0,0
S,33100,132400008,525,0,0
S,33101,132404008,520,0,0
S,33102,132408008,515,0,0
S,33103,132412012,509,0,0
S,33104,132416008,506,0,0
S,33105,132420008,506,0,0
S,33106,132424008,506,0,0
S,33107,132428008,506,0,0
S,33108,132432008,506,0,0
S,33109,132436008,506,0,0
S,33110,132440008,506,0,0
S,33111,132444008,506,0,0
S,33112,132448008,506,0,0
S,33113,132452008,506,0,0
S,33114,132456008,506,0,0
S,33115,132460008,506,0,0
S,33116,132464008,506,0,0
S,33117,132468008,506,0,0
S,33118,132472008,506,0,0
S,33119,132476008,506,0,0
S,33120,132480012,506,0,0
S,33121,132484008,506,0,0
S,33122,132488012,506,0,0
S,33123,132492008,506,0,0
S,33124,132496008,506,0,0
S,33125,132500008,507,0,0
S,33126,132504008,507,0,0
S,33127,132508008,507,0,0
S,33128,132512008,507,0,0
S,33129,132516008,507,0,0
S,33130,132520008,507,0,0
S,33131,132524008,507,0,0
S,33132,132528008,507,0,0
S,33133,132532008,507,0,0
S,33134,132536008,507,0,0
S,33135,132540008,507,0,0
S,33136,132544008,510,0,0
S,33137,132548008,514,0,0
S,33138,132552012,518,0,0
S,33139,132556008,521,0,0
S,33140,132560008,525,0,0
S,33141,132564012,529,0,0
S,33142,132568008,533,0,0
S,33143,132572008,533,0,0
S,33144,132576008,529,0,0
S,33145,132580008,525,0,0
S,33146,132584008,521,0,0
S,33147,132588008,518,0,0
S,33148,132592012,514,0,0
S,33149,132596008,510,0,0
S,33150,132600008,508,0,0
S,33151,132604008,508,0,0
S,33152,132608008,508,0,0
S,33153,132612008,508,0,0
S,33154,132616008,508,0,0
S,33155,132620008,508,0,0
S,33156,132624008,508,0,0
S,33157,132628008,508,0,0
S,33158,132632008,508,0,0
S,33159,132636008,508,0,0
S,33160,132640008,501,0,0
S,33161,132644008,486,0,0
S,33162,132648008,471,0,0
S,33163,132652008,471,0,0
S,33164,132656008,486,0,0
S,33165,132660008,501,0,0
S,33166,132664008,508,0,0
S,33167,132668008,508,0,0
S,33168,132672008,593,0,0
S,33169,132676008,678,0,0
S,33170,132680012,762,0,0
S,33171,132684008,678,0,0
S,33172,132688008,593,0,0
S,33173,132692012,508,0,0
S,33174,132696008,508,0,0
S,33175,132700008,493,0,0
S,33176,132704008,477,0,0
S,33177,132708008,461,0,0
S,33178,132712008,444,0,0
S,33179,132716008,461,0,0
S,33180,132720008,477,0,0
S,33181,132724008,493,0,0
S,33182,132728008,509,0,0
S,33183,132732012,509,0,0
S,33184,132736008,509,0,0
S,33185,132740008,509,0,0
S,33186,132744008,509,0,0
S,33187,132748008,509,0,0
S,33188,132752008,509,0,0
S,33189,132756012,509,0,0
S,33190,132760008,509,0,0
S,33191,132764008,509,0,0
S,33192,132768008,512,0,0
S,33193,132772008,518,0,0
S,33194,132776008,523,0,0
S,33195,132780008,528,0,0
S,33196,132784008,533,0,0
S,33197,132788008,539,0,0
S,33198,132792008,544,0,0
S,33199,132796008,549,0,0
S,33200,132800008,555,0,0
S,33201,132804008,561,0,0
S,33202,132808008,566,0,0
S,33203,132812008,571,0,0
S,33204,132816008,576,0,0
S,33205,132820008,581,0,0
S,33206,132824008,587,0,0
S,33207,132828008,592,0,0
S,33208,132832008,592,0,0
S,33209,132836008,587,0,0
S,33210,132840008,581,0,0
S,33211,132844008,576,0,0
S,33212,132848008,571,0,0
S,33213,132852008,566,0,0
S,33214,132856008,561,0,0
S,33215,132860008,555,0,0
S,33216,132864008,550,0,0
S,33217,132868008,545,0,0
S,33218,132872008,540,0,0
S,33219,132876008,534,0,0
S,33220,132880008,529,0,0
S,33221,132884012,524,0,0
S,33222,132888008,519,0,0
S,33223,132892008,513,0,0
S,33224,132896008,510,0,0
S,33225,132900008,511,0,0
S,33226,132904008,511,0,0
S,33227,132908008,511,0,0
S,33228,132912012,511,0,0
S,33229,132916008,511,0,0
S,33230,132920012,511,0,0
S,33231,132924008,511,0,0
S,33232,132928008,511,0,0
S,33233,132932008,511,0,0
S,33234,132936008,511,0,0
S,33235,132940008,511,0,0
S,33236,132944008,511,0,0
S,33237,132948012,511,0,0
S,33238,132952008,511,0,0
S,33239,132956008,511,0,0
S,33240,132960008,511,0,0
S,33241,132964012,511,0,0
S,33242,132968008,511,0,0
S,33243,132972008,511,0,0
S,33244,132976008,511,0,0
S,33245,132980008,511,0,0
S,33246,132984008,511,0,0
S,33247,132988008,511,0,0
S,33248,132992008,511,0,0
S,33249,132996008,511,0,0
S,33250,133000012,512,0,0
S,33251,133004008,512,0,0
S,33252,133008008,512,0,0
S,33253,133012008,512,0,0
S,33254,133016008,512,0,0
S,33255,133020008,512,0,0
S,33256,133024008,515,0,0
S,33257,133028008,519,0,0
S,33258,133032008,523,0,0
S,33259,133036008,526,0,0
S,33260,133040008,530,0,0
S,33261,133044008,534,0,0
S,33262,133048008,538,0,0
S,33263,133052008,538,0,0
S,33264,133056008,534,0,0
S,33265,133060008,530,0,0
S,33266,133064008,526,0,0
S,33267,133068012,523,0,0
S,33268,133072008,519,0,0
S,33269,133076008,515,0,0
S,33270,133080008,512,0,0
S,33271,133084012,512,0,0
S,33272,133088008,512,0,0
S,33273,133092008,512,0,0
S,33274,133096008,512,0,0
S,33275,133100008,513,0,0
S,33276,133104008,513,0,0
S,33277,133108008,513,0,0
S,33278,133112008,513,0,0
S,33279,133116008,513,0,0
S,33280,133120008,506,0,0
S,33281,133124008,491,0,0
S,33282,133128012,476,0,0
S,33283,133132008,476,0,0
S,33284,133136008,491,0,0
S,33285,133140008,506,0,0
S,33286,133144012,513,0,0
S,33287,133148008,513,0,0
S,33288,133152008,598,0,0
S,33289,133156008,683,0,0
S,33290,133160008,768,0,0
S,33291,133164008,683,0,0
S,33292,133168008,598,0,0
S,33293,133172008,513,0,0
S,33294,133176008,513,0,0
S,33295,133180008,497,0,0
S,33296,133184008,481,0,0
S,33297,133188008,465,0,0
S,33298,133192012,449,0,0
S,33299,133196008,465,0,0
S,33300,133200012,482,0,0
S,33301,133204008,498,0,0
S,33302,133208008,514,0,0
S,33303,133212008,514,0,0
S,33304,133216008,514,0,0
S,33305,133220008,514,0,0
S,33306,133224008,514,0,0
S,33307,133228008,514,0,0
S,33308,133232012,514,0,0
S,33309,133236008,514,0,0
S,33310,133240008,514,0,0
S,33311,133244008,514,0,0
S,33312,133248008,517,0,0
S,33313,133252012,523,0,0
S,33314,133256008,528,0,0
S,33315,133260008,533,0,0
S,33316,133264008,538,0,0
S,33317,133268008,544,0,0
S,33318,133272012,549,0,0
S,33319,133276012,554,0,0
S,33320,133280008,559,0,0
S,33321,133284008,565,0,0
S,33322,133288008,570,0,0
S,33323,133292008,575,0,0
S,33324,133296008,580,0,0
