rr_prev_s,rr_next_s,rr_ratio_to_median,instant_hr_bpm,local_median_hr_bpm,rr_cv,qrs_duration_s,r_amplitude,qrs_energy,sqi_numeric,p_visible,t_visible,label
0.912,1.332,0.6846846846846847,65.78947368421052,45.04504504504504,0.21950686504472047,0.08,0.9463257349944925,0.18676599631740148,1.0,0.0,0.0,warning_like
1.332,1.336,1.0,45.04504504504504,45.04504504504504,0.21950686504472047,0.084,0.9039110630506387,0.18284704585541553,1.0,0.0,0.0,warning_like
1.336,1.332,1.003003003003003,44.91017964071856,45.04504504504504,0.21950686504472047,0.084,0.9225095564076675,0.1854672699439728,1.0,0.0,0.0,warning_like
1.332,1.332,1.0,45.04504504504504,45.04504504504504,0.21950686504472047,0.084,0.8610439063958485,0.18022228973458296,1.0,1.0,0.0,warning_like
1.332,1.336,1.0,45.04504504504504,45.04504504504504,0.21950686504472047,0.088,0.9935750641463108,0.1858644570116638,1.0,0.0,0.0,warning_like
1.336,1.332,1.003003003003003,44.91017964071856,45.04504504504504,0.21950686504472047,0.084,0.8066275770057123,0.19749794623847747,1.0,1.0,0.0,warning_like
1.332,1.336,1.0,45.04504504504504,45.04504504504504,0.21950686504472047,0.084,0.9843969180748475,0.1814876620240752,1.0,0.0,0.0,warning_like
1.336,1.332,1.003003003003003,44.91017964071856,45.04504504504504,0.21950686504472047,0.084,0.8097828308247365,0.19250661581174447,1.0,0.0,0.0,warning_like
1.332,0.0,1.0,45.04504504504504,45.04504504504504,0.21950686504472047,0.088,0.8914214228073384,0.18937860877916976,1.0,0.0,0.0,warning_like
0.0,0.48,0.0,0.0,125.0,2.3129646346357425e-16,0.088,0.9236446485367833,0.1851884936752678,1.0,1.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.088,0.9077649747926739,0.19247689904736273,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.8522340666894513,0.18730727926270144,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.7916100949199125,0.1899500697704043,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.7949014262619131,0.18406471503887667,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.8418570499833904,0.18593442171463767,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.088,0.8956043162551459,0.17769358690894718,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.088,0.9233653634436068,0.18666737157631091,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.088,0.9119363216307408,0.19234125361480475,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.08,0.8123371411945663,0.1851448685189895,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.08,0.7908318762144264,0.18618022594389233,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.8174896357497664,0.18316802527144277,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.879338964503926,0.18261721416679996,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.088,0.9295481845574507,0.18734225378413447,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.88765336521813,0.18855317622633685,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.8317428909183876,0.19016149282320177,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.7810228727421916,0.19205330994519185,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.08,0.801006226387512,0.18463708434785545,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.08,0.8863868030721781,0.19022059559865026,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.9252285684176835,0.19295163387100897,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.088,0.9203535237307918,0.18345682299709234,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.8527919833284084,0.18572158441650255,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.088,0.8199557830590016,0.1968081437130744,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.088,0.7908410600406318,0.19358225822874683,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.08,0.8961994718792721,0.1914163739167041,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.9066637888394626,0.1880409299182559,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.916564764108734,0.18321152524820092,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.08,0.8688888266728187,0.19286766651756332,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.7979282231897135,0.18954845618400593,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.08,0.8217931838106757,0.18881486265117767,1.0,0.0,0.0,warning_like
0.48,0.48,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.858222454244429,0.1872497930597,1.0,0.0,0.0,warning_like
0.48,0.0,1.0,125.0,125.0,2.3129646346357425e-16,0.084,0.8856030097074536,0.18125095036213892,1.0,0.0,0.0,warning_like
0.0,0.64,0.0,0.0,94.9367088607595,0.006445319334096717,0.112,0.9687576909470144,0.1856554693511619,1.0,1.0,0.0,warning_like
0.64,0.624,1.0126582278481013,93.75,94.9367088607595,0.006445319334096717,0.08,0.49879734738287174,0.1595042542994027,1.0,1.0,1.0,warning_like
0.624,0.628,0.9873417721518988,96.15384615384616,94.9367088607595,0.006445319334096717,0.076,0.7600316989217315,0.18167227552002738,1.0,0.0,1.0,warning_like
0.628,0.636,0.9936708860759493,95.54140127388536,94.9367088607595,0.006445319334096717,0.076,0.6706831832837421,0.16985164786291673,1.0,1.0,1.0,warning_like
0.636,0.632,1.0063291139240507,94.33962264150944,94.9367088607595,0.006445319334096717,0.084,0.8094236732194686,0.19980000559185776,1.0,1.0,1.0,warning_like
0.632,0.64,1.0,94.9367088607595,94.9367088607595,0.006445319334096717,0.084,0.9115665557340498,0.1757567848054665,1.0,1.0,1.0,warning_like
0.64,0.624,1.0126582278481013,93.75,94.9367088607595,0.006445319334096717,0.096,0.4841043323409031,0.18876640404463363,1.0,1.0,1.0,warning_like
0.624,0.628,0.9873417721518988,96.15384615384616,94.9367088607595,0.006445319334096717,0.084,0.7979281630675685,0.18643976874329646,1.0,1.0,1.0,warning_like
0.628,0.632,0.9936708860759493,95.54140127388536,94.9367088607595,0.006445319334096717,0.096,0.8201993965657897,0.19944631808251373,1.0,1.0,1.0,warning_like
0.632,0.632,1.0,94.9367088607595,94.9367088607595,0.006445319334096717,0.084,0.9718957410766573,0.19287971621192182,1.0,1.0,1.0,warning_like
0.632,0.632,1.0,94.9367088607595,94.9367088607595,0.006445319334096717,0.076,0.9439830106563611,0.16621678175632087,1.0,1.0,1.0,warning_like
0.632,0.632,1.0,94.9367088607595,94.9367088607595,0.006445319334096717,0.092,0.9503773382169522,0.18780621284529003,1.0,1.0,1.0,warning_like
0.632,0.632,1.0,94.9367088607595,94.9367088607595,0.006445319334096717,0.076,0.7970424942225413,0.2075884511839975,1.0,1.0,1.0,warning_like
0.632,0.628,1.0,94.9367088607595,94.9367088607595,0.006445319334096717,0.08,0.7543919884877212,0.19520744250743285,1.0,1.0,0.0,warning_like
0.628,0.636,0.9936708860759493,95.54140127388536,94.9367088607595,0.006445319334096717,0.076,0.98913563298615,0.1912572190492728,1.0,1.0,1.0,warning_like
0.636,0.628,1.0063291139240507,94.33962264150944,94.9367088607595,0.006445319334096717,0.096,0.8357924017257138,0.2082967037170735,1.0,0.0,1.0,warning_like
0.628,0.632,0.9936708860759493,95.54140127388536,94.9367088607595,0.006445319334096717,0.096,0.724542482883469,0.19290702508130553,1.0,1.0,1.0,warning_like
0.632,0.628,1.0,94.9367088607595,94.9367088607595,0.006445319334096717,0.084,0.6745642369997981,0.16868427159177946,1.0,1.0,0.0,warning_like
0.628,0.636,0.9936708860759493,95.54140127388536,94.9367088607595,0.006445319334096717,0.08,0.7039672458770501,0.17948732727618683,1.0,1.0,1.0,warning_like
0.636,0.632,1.0063291139240507,94.33962264150944,94.9367088607595,0.006445319334096717,0.088,0.9204592191561927,0.17951498370716715,1.0,1.0,1.0,warning_like
0.632,0.632,1.0,94.9367088607595,94.9367088607595,0.006445319334096717,0.092,0.8734909181207664,0.1800575081655622,1.0,1.0,1.0,warning_like
0.632,0.632,1.0,94.9367088607595,94.9367088607595,0.006445319334096717,0.092,0.9536217958379736,0.1855130355877579,1.0,1.0,1.0,warning_like
0.632,0.632,1.0,94.9367088607595,94.9367088607595,0.006445319334096717,0.092,0.8713933327241005,0.18671775715586303,1.0,1.0,1.0,warning_like
0.632,0.0,1.0,94.9367088607595,94.9367088607595,0.006445319334096717,0.08,0.9863251217673472,0.191076532858038,1.0,1.0,0.0,warning_like
